Los Botines Vaquero Village - Water Distribution System
 Time Series Plot - Pressure for Selected Nodes
Series          	Time (hours)    	Pressure (psi)  
Node J_BP1_DIS  	0.0000          	58.1112         
Node J_BP1_DIS  	0.0333          	60.5851         
Node J_BP1_DIS  	0.0667          	56.1550         
Node J_BP1_DIS  	0.1000          	62.9467         
Node J_BP1_DIS  	0.1333          	51.0022         
Node J_BP1_DIS  	0.1667          	63.8380         
Node J_BP1_DIS  	0.2000          	48.4359         
Node J_BP1_DIS  	0.2333          	62.7005         
Node J_BP1_DIS  	0.2667          	46.9081         
Node J_BP1_DIS  	0.3000          	56.8629         
Node J_BP1_DIS  	0.3333          	47.7550         
Node J_BP1_DIS  	0.3667          	54.8812         
Node J_BP1_DIS  	0.4000          	48.2803         
Node J_BP1_DIS  	0.4333          	55.1816         
Node J_BP1_DIS  	0.4667          	46.6080         
Node J_BP1_DIS  	0.5000          	54.7152         
Node J_BP1_DIS  	0.5333          	44.0294         
Node J_BP1_DIS  	0.5667          	55.1932         
Node J_BP1_DIS  	0.6000          	43.5877         
Node J_BP1_DIS  	0.6333          	54.0472         
Node J_BP1_DIS  	0.6667          	42.3806         
Node J_BP1_DIS  	0.7000          	53.5836         
Node J_BP1_DIS  	0.7333          	42.6496         
Node J_BP1_DIS  	0.7667          	52.4993         
Node J_BP1_DIS  	0.8000          	42.5900         
Node J_BP1_DIS  	0.8333          	49.1682         
Node J_BP1_DIS  	0.8667          	46.5803         
Node J_BP1_DIS  	0.9000          	48.4989         
Node J_BP1_DIS  	0.9333          	49.0771         
Node J_BP1_DIS  	0.9667          	47.6375         
Node J_BP1_DIS  	1.0000          	49.7359         
Node J_BP1_DIS  	1.0333          	47.6101         
Node J_BP1_DIS  	1.0667          	49.7786         
Node J_BP1_DIS  	1.1000          	47.5978         
Node J_BP1_DIS  	1.1333          	49.7501         
Node J_BP1_DIS  	1.1667          	47.5606         
Node J_BP1_DIS  	1.2000          	49.7537         
Node J_BP1_DIS  	1.2333          	47.5443         
Node J_BP1_DIS  	1.2667          	49.7519         
Node J_BP1_DIS  	1.3000          	47.5356         
Node J_BP1_DIS  	1.3333          	49.7493         
Node J_BP1_DIS  	1.3667          	47.5308         
Node J_BP1_DIS  	1.4000          	49.7472         
Node J_BP1_DIS  	1.4333          	47.5282         
Node J_BP1_DIS  	1.4667          	49.7457         
Node J_BP1_DIS  	1.5000          	47.5267         
Node J_BP1_DIS  	1.5333          	49.7448         
Node J_BP1_DIS  	1.5667          	47.5259         
Node J_BP1_DIS  	1.6000          	49.7442         
Node J_BP1_DIS  	1.6333          	47.5254         
Node J_BP1_DIS  	1.6667          	49.7439         
Node J_BP1_DIS  	1.7000          	47.5251         
Node J_BP1_DIS  	1.7333          	49.7437         
Node J_BP1_DIS  	1.7667          	47.5249         
Node J_BP1_DIS  	1.8000          	49.7436         
Node J_BP1_DIS  	1.8333          	47.5248         
Node J_BP1_DIS  	1.8667          	49.7435         
Node J_BP1_DIS  	1.9000          	47.5248         
Node J_BP1_DIS  	1.9333          	49.7434         
Node J_BP1_DIS  	1.9667          	47.5247         
